date,total_inquiries,total_contact_me,total_book_it,total_instant_book,total_replies,total_accepted,total_bookings,contact_me_rate,book_it_rate,instant_book_rate,guest_return_rate,guest_message_rate,words_in_guest_profile,reply_rate,reply_time,accepted_rate,accepted_time,reply_conversion_rate,accepted_conversion_rate,booking_rate,booking_time,listing_rate,interaction
2016-01-02,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,101.0,0.0,1.0,1.1574074074074073e-05,1.0,1.1574074074074073e-05,1.0,1.0,1.0,1.1574074074074073e-05,1.0,5.0
2016-01-03,6.0,3.0,1.0,2.0,6.0,5.0,2.0,0.5,0.16666666666666666,0.3333333333333333,0.2,84.66666666666667,17.666666666666668,1.0,0.023981481481481482,0.8333333333333334,0.006122685185185185,0.3333333333333333,0.4,0.3333333333333333,0.0,1.0,4.9
2016-01-04,5.0,2.0,1.0,2.0,4.0,4.0,3.0,0.4,0.2,0.4,0.2,240.2,0.2,0.8,0.05144675925925926,0.8,0.05157407407407407,0.75,0.75,0.6,0.06618055555555556,1.0,3.4
2016-01-05,8.0,7.0,1.0,0.0,7.0,3.0,1.0,0.875,0.125,0.0,0.25,338.5,0.0,0.875,0.08880787037037037,0.375,0.8561458333333334,0.14285714285714285,0.3333333333333333,0.125,0.013252314814814814,1.0,5.0
2016-01-06,5.0,3.0,1.0,1.0,3.0,2.0,2.0,0.6,0.2,0.2,0.4,192.6,15.0,0.6,0.06170138888888889,0.4,0.02771990740740741,0.6666666666666666,1.0,0.4,0.28908564814814813,1.0,3.4
2016-01-07,8.0,5.0,2.0,1.0,8.0,2.0,1.0,0.625,0.25,0.125,0.42857142857142855,134.5,9.625,1.0,0.022881944444444444,0.25,0.3849884259259259,0.125,0.5,0.125,0.0,1.0,2.857142857142857
2016-01-08,7.0,2.0,1.0,4.0,7.0,6.0,4.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.7142857142857143,112.0,1.1428571428571428,1.0,0.008483796296296297,0.8571428571428571,0.06497685185185186,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.0033912037037037036,0.8571428571428571,2.6153846153846154
2016-01-09,5.0,3.0,2.0,0.0,5.0,4.0,1.0,0.6,0.4,0.0,0.75,177.8,41.8,1.0,0.0487037037037037,0.8,0.061655092592592595,0.2,0.25,0.2,0.08373842592592592,1.25,2.2222222222222223
2016-01-10,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,218.5,0.5,1.0,0.08106481481481481,1.0,0.08109953703703704,0.0,0.0,0.0,,1.0,2.25
2016-01-11,5.0,3.0,2.0,0.0,2.0,0.0,0.0,0.6,0.4,0.0,0.6,95.2,8.0,0.4,0.13836805555555556,0.0,0.10644675925925925,0.0,0.0,0.0,0.10644675925925925,1.0,1.7777777777777777
2016-01-12,5.0,5.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.2,255.2,0.2,1.0,0.0203125,0.6,0.004618055555555556,0.2,0.3333333333333333,0.2,,1.0,2.1
2016-01-13,6.0,3.0,1.0,2.0,6.0,5.0,2.0,0.5,0.16666666666666666,0.3333333333333333,0.0,177.5,0.16666666666666666,1.0,0.023310185185185184,0.8333333333333334,0.009525462962962963,0.3333333333333333,0.4,0.3333333333333333,0.0,1.0,3.3333333333333335
2016-01-14,3.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,152.66666666666666,0.3333333333333333,1.0,0.017256944444444443,0.0,0.8037384259259259,0.0,0.0,0.0,0.8332986111111111,1.0,15.666666666666666
2016-01-15,7.0,7.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0,0.0,0.2857142857142857,156.28571428571428,1.5714285714285714,0.8571428571428571,0.01579861111111111,0.42857142857142855,0.004178240740740741,0.16666666666666666,0.3333333333333333,0.14285714285714285,,1.0,3.2142857142857144
