date,total_inquiries,total_contact_me,total_book_it,total_instant_book,total_replies,total_accepted,total_bookings,contact_me_rate,book_it_rate,instant_book_rate,guest_return_rate,guest_message_rate,words_in_guest_profile,reply_rate,reply_time,accepted_rate,accepted_time,reply_conversion_rate,accepted_conversion_rate,booking_rate,booking_time,listing_rate,interaction
2016-01-02,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.5,0.5,0.0,0.5,293.5,56.0,1.0,0.044710648148148145,0.5,0.05710648148148148,0.0,0.0,0.0,,1.0,2.75
2016-01-03,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,164.0,1.6666666666666667,0.6666666666666666,0.05672453703703704,0.3333333333333333,1.1574074074074073e-05,0.5,1.0,0.3333333333333333,1.1574074074074073e-05,1.0,6.666666666666667
2016-01-04,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,420.0,0.0,0.6666666666666666,0.04994212962962963,0.3333333333333333,0.0,0.5,1.0,0.3333333333333333,0.0,1.0,2.3333333333333335
2016-01-05,6.0,1.0,5.0,0.0,5.0,1.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,148.66666666666666,16.166666666666668,0.8333333333333334,0.022708333333333334,0.16666666666666666,0.031226851851851853,0.0,0.0,0.0,0.4153125,0.8333333333333334,6.454545454545454
2016-01-06,2.0,1.0,1.0,0.0,4.0,2.0,2.0,0.5,0.5,0.0,0.0,157.0,0.0,2.0,0.03175925925925926,1.0,0.060752314814814815,0.5,1.0,1.0,0.060752314814814815,1.0,1.75
2016-01-07,7.0,3.0,1.0,3.0,6.0,4.0,3.0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,182.57142857142858,12.0,0.8571428571428571,0.05123842592592592,0.5714285714285714,0.0078009259259259256,0.5,0.75,0.42857142857142855,0.0,1.0,4.428571428571429
2016-01-08,6.0,1.0,4.0,1.0,6.0,3.0,4.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,166.33333333333334,4.5,1.0,0.041539351851851855,0.5,0.18462962962962962,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.18462962962962962,1.0,2.8333333333333335
2016-01-09,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.5,389.5,0.0,1.0,0.00042824074074074075,0.5,,0.5,1.0,0.5,,1.0,1.0
2016-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-01-11,4.0,1.0,1.0,2.0,4.0,3.0,3.0,0.25,0.25,0.5,0.75,100.75,3.25,1.0,0.007210648148148148,0.75,0.0017939814814814815,0.75,1.0,0.75,0.0017939814814814815,1.0,3.375
