date,total_inquiries,total_contact_me,total_book_it,total_instant_book,total_replies,total_accepted,total_bookings,contact_me_rate,book_it_rate,instant_book_rate,guest_return_rate,guest_message_rate,words_in_guest_profile,reply_rate,reply_time,accepted_rate,accepted_time,reply_conversion_rate,accepted_conversion_rate,booking_rate,booking_time,listing_rate,interaction
2016-01-02,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.5,0.5,0.0,0.5,292.0,0.5,1.0,0.059953703703703703,1.0,0.059953703703703703,0.5,0.5,0.5,0.03549768518518519,1.0,4.75
2016-01-03,5.0,3.0,1.0,1.0,5.0,4.0,1.0,0.6,0.2,0.2,1.0,179.0,30.4,1.0,0.02806712962962963,0.8,0.009699074074074074,0.2,0.25,0.2,0.23164351851851853,1.0,17.25
2016-01-04,3.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.6666666666666666,219.66666666666666,9.333333333333334,0.6666666666666666,0.03726851851851852,0.3333333333333333,0.014282407407407407,1.5,3.0,1.0,0.014282407407407407,1.0,2.3333333333333335
2016-01-05,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,482.3333333333333,101.66666666666667,1.0,0.0496875,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,1.0,2.1666666666666665
2016-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-01-07,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,209.33333333333334,53.666666666666664,0.3333333333333333,0.03148148148148148,0.3333333333333333,0.031828703703703706,1.0,1.0,0.3333333333333333,0.031828703703703706,1.0,4.666666666666667
2016-01-08,5.0,3.0,2.0,0.0,4.0,3.0,1.0,0.6,0.4,0.0,0.6,291.4,10.2,0.8,0.01636574074074074,0.6,0.09787037037037037,0.25,0.3333333333333333,0.2,0.2899305555555556,1.0,7.8
2016-01-09,3.0,2.0,1.0,0.0,3.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.5,134.33333333333334,0.0,1.0,0.027962962962962964,0.3333333333333333,0.01394675925925926,0.3333333333333333,1.0,0.3333333333333333,0.01394675925925926,1.5,9.4
2016-01-10,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,205.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.75
2016-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-01-12,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,40.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.5
2016-01-13,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,357.5,27.5,0.5,0.03530092592592592,0.0,,0.0,0.0,0.0,,1.0,0.75
2016-01-14,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,124.5,0.5,1.0,0.041527777777777775,0.5,0.018287037037037036,0.0,0.0,0.0,,1.0,1.5
2016-01-15,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.5,0.0,0.5,0.0,660.0,0.0,1.0,0.0059490740740740745,1.0,0.2903935185185185,0.5,0.5,0.5,0.0,1.0,3.75
2016-01-16,3.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.6666666666666666,294.3333333333333,42.0,1.0,0.06916666666666667,0.6666666666666666,0.10260416666666666,0.6666666666666666,1.0,0.6666666666666666,0.10260416666666666,1.0,2.1666666666666665
2016-01-17,7.0,1.0,6.0,0.0,5.0,2.0,2.0,0.14285714285714285,0.8571428571428571,0.0,0.6666666666666666,239.85714285714286,36.857142857142854,0.7142857142857143,0.08072916666666667,0.2857142857142857,0.23186342592592593,0.4,1.0,0.2857142857142857,0.23186342592592593,1.0,2.8333333333333335
2016-01-18,4.0,0.0,3.0,1.0,4.0,2.0,2.0,0.0,0.75,0.25,0.5,128.0,30.75,1.0,0.04097222222222222,0.5,0.19953703703703704,0.5,1.0,0.5,0.19953703703703704,1.0,9.625
2016-01-19,3.0,0.0,2.0,1.0,4.0,4.0,4.0,0.0,0.6666666666666666,0.3333333333333333,1.0,230.33333333333334,16.0,1.3333333333333333,0.0033912037037037036,1.3333333333333333,0.008287037037037037,1.0,1.0,1.3333333333333333,0.008287037037037037,1.0,15.833333333333334
2016-01-20,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,380.0,0.0,1.0,0.08688657407407407,0.0,,0.0,0.0,0.0,,1.0,8.5
2016-01-21,3.0,1.0,2.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,330.3333333333333,18.0,0.3333333333333333,0.07484953703703703,0.3333333333333333,0.07484953703703703,1.0,1.0,0.3333333333333333,0.07484953703703703,1.0,2.0
2016-01-22,3.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,326.6666666666667,17.0,1.0,0.01800925925925926,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6666666666666666,0.0,1.0,9.166666666666666
2016-01-23,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,192.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.5
2016-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-01-25,4.0,1.0,2.0,1.0,3.0,2.0,2.0,0.25,0.5,0.25,0.25,443.75,40.25,0.75,0.013344907407407408,0.5,0.35422453703703705,0.6666666666666666,1.0,0.5,0.35542824074074075,1.0,8.375
