date,total_inquiries,total_contact_me,total_book_it,total_instant_book,total_replies,total_accepted,total_bookings,contact_me_rate,book_it_rate,instant_book_rate,guest_return_rate,guest_message_rate,words_in_guest_profile,reply_rate,reply_time,accepted_rate,accepted_time,reply_conversion_rate,accepted_conversion_rate,booking_rate,booking_time,listing_rate,interaction
2016-01-02,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,238.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.5
2016-01-03,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.5,328.5,50.0,1.0,0.03712962962962963,0.5,0.07144675925925927,0.5,1.0,0.5,0.07144675925925927,1.0,3.0
2016-01-04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,0.5
2016-01-05,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,360.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0
2016-01-06,2.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.5,0.5,0.0,230.0,11.0,1.0,0.00912037037037037,1.0,0.00912037037037037,1.0,1.0,1.0,0.00912037037037037,1.0,4.5
2016-01-07,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,183.0,0.5,0.5,0.1645486111111111,0.0,,0.0,0.0,0.0,,1.0,0.75
2016-01-08,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.5,0.0,0.5,0.5,329.5,3.0,1.0,0.07,1.0,0.07526620370370371,0.5,0.5,0.5,0.39077546296296295,1.0,12.75
2016-01-09,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,290.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.5
2016-01-10,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.5,340.0,21.5,1.0,0.02244212962962963,1.0,0.025277777777777777,0.5,0.5,0.5,0.0006018518518518519,1.0,8.0
2016-01-11,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,210.66666666666666,31.333333333333332,0.3333333333333333,0.07914351851851852,0.3333333333333333,0.08350694444444444,1.0,1.0,0.3333333333333333,0.08350694444444444,1.0,3.3333333333333335
2016-01-12,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,476.0,1.0,2.0,0.1197337962962963,0.0,,0.0,0.0,0.0,,1.0,5.5
2016-01-13,4.0,2.0,1.0,1.0,3.0,1.0,1.0,0.5,0.25,0.25,0.3333333333333333,336.0,0.0,0.75,0.0765625,0.25,0.0,0.3333333333333333,1.0,0.25,0.0,1.3333333333333333,3.2857142857142856
2016-01-14,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,155.5,3.0,1.0,0.00537037037037037,0.0,,0.0,0.0,0.0,,1.0,2.0
2016-01-15,4.0,1.0,2.0,1.0,3.0,1.0,1.0,0.25,0.5,0.25,0.75,394.5,51.0,0.75,0.0500462962962963,0.25,0.06643518518518518,0.3333333333333333,1.0,0.25,0.06643518518518518,1.0,5.25
2016-01-16,2.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,268.0,0.5,1.5,0.011574074074074073,1.5,0.011574074074074073,1.0,1.0,1.5,0.011574074074074073,1.0,3.25
2016-01-17,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,554.0,66.0,1.0,0.02175925925925926,1.0,0.02175925925925926,0.0,0.0,0.0,0.1393287037037037,1.0,8.0
2016-01-18,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,154.0,0.0,1.0,0.004826388888888889,1.0,0.004826388888888889,2.0,2.0,2.0,0.004826388888888889,1.0,3.5
2016-01-19,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,265.0,48.0,1.0,0.007847222222222222,1.0,0.007847222222222222,1.0,1.0,1.0,0.007847222222222222,1.0,6.5
