date,total_inquiries,total_contact_me,total_book_it,total_instant_book,total_replies,total_accepted,total_bookings,contact_me_rate,book_it_rate,instant_book_rate,guest_return_rate,guest_message_rate,words_in_guest_profile,reply_rate,reply_time,accepted_rate,accepted_time,reply_conversion_rate,accepted_conversion_rate,booking_rate,booking_time,listing_rate,interaction
2016-01-02,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,221.0,39.0,1.0,0.16913194444444443,1.0,0.16913194444444443,1.0,1.0,1.0,0.16913194444444443,1.0,5.5
2016-01-03,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,194.0,48.0,1.0,0.015416666666666667,0.0,,0.0,0.0,0.0,,1.0,1.0
2016-01-04,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,470.0,1.0,1.0,0.0009490740740740741,1.0,0.0009490740740740741,1.0,1.0,1.0,0.0009490740740740741,1.0,4.5
2016-01-05,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,225.0,0.0,0.0,0.04435185185185185,0.0,0.04435185185185185,0.0,0.0,0.0,,1.0,1.25
2016-01-06,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,236.0,0.0,2.0,0.0,2.0,0.0,0.5,0.5,1.0,0.0,1.0,16.5
2016-01-07,6.0,4.0,2.0,0.0,4.0,2.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.2,299.0,32.333333333333336,0.6666666666666666,0.09903935185185185,0.3333333333333333,0.6971759259259259,0.25,0.5,0.16666666666666666,0.046296296296296294,1.2,1.7
2016-01-08,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,188.66666666666666,0.0,0.3333333333333333,0.17114583333333333,0.3333333333333333,0.4206597222222222,0.0,0.0,0.0,0.6672685185185185,1.0,2.1666666666666665
2016-01-09,4.0,2.0,2.0,0.0,3.0,1.0,1.0,0.5,0.5,0.0,0.0,229.5,1.25,0.75,0.05670138888888889,0.25,,0.3333333333333333,1.0,0.25,,1.3333333333333333,1.4285714285714286
2016-01-10,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.5,0.5,0.0,110.0,1.0,1.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,1.0,10.5
2016-01-11,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,95.0,12.0,1.0,0.0,1.0,3.472222222222222e-05,1.0,1.0,1.0,3.472222222222222e-05,1.0,5.0
2016-01-12,4.0,0.0,2.0,2.0,4.0,4.0,3.0,0.0,0.5,0.5,0.25,148.5,0.25,1.0,0.004965277777777778,1.0,0.004560185185185185,0.75,0.75,0.75,0.004560185185185185,1.0,2.375
2016-01-13,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,238.0,0.0,0.5,0.1550925925925926,0.5,0.15540509259259258,1.0,1.0,0.5,0.15540509259259258,1.0,3.25
2016-01-14,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.5,190.5,0.5,1.0,0.018414351851851852,0.5,0.0012731481481481483,0.5,1.0,0.5,0.0012731481481481483,1.0,2.5
2016-01-15,5.0,2.0,1.0,2.0,4.0,2.0,2.0,0.4,0.2,0.4,0.2,222.6,19.4,0.8,0.006006944444444444,0.4,0.0,0.5,1.0,0.4,0.0,1.0,2.3
2016-01-16,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,54.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.5
2016-01-17,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.5,0.0,0.5,0.0,207.5,0.0,1.0,0.0758449074074074,1.0,0.11510416666666666,0.5,0.5,0.5,0.4454976851851852,1.0,7.5
2016-01-18,4.0,3.0,1.0,0.0,4.0,3.0,1.0,0.75,0.25,0.0,0.0,270.0,9.0,1.0,0.04491898148148148,0.75,0.06344907407407407,0.25,0.3333333333333333,0.25,0.3048263888888889,1.0,2.875
