date,total_inquiries,total_contact_me,total_book_it,total_instant_book,total_replies,total_accepted,total_bookings,contact_me_rate,book_it_rate,instant_book_rate,guest_return_rate,guest_message_rate,words_in_guest_profile,reply_rate,reply_time,accepted_rate,accepted_time,reply_conversion_rate,accepted_conversion_rate,booking_rate,booking_time,listing_rate,interaction
2016-01-06,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,304.5,45.5,0.5,0.0,0.5,0.0,1.0,1.0,0.5,0.0,1.0,4.0
2016-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-01-08,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,138.0,1.0,1.0,0.004583333333333333,0.0,,0.0,0.0,0.0,,1.0,1.5
2016-01-09,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,79.0,1.0,1.0,0.1958564814814815,0.0,,0.0,0.0,0.0,,1.0,2.0
2016-01-10,4.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.75,281.5,12.75,0.75,0.0838425925925926,0.0,0.14337962962962963,0.0,0.0,0.0,0.14337962962962963,1.0,4.75
2016-01-11,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0
2016-01-12,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,260.0,28.0,0.5,0.031203703703703702,0.5,0.031203703703703702,1.0,1.0,0.5,0.0,1.0,1.5
2016-01-13,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,233.0,0.0,1.0,0.014733796296296297,1.0,,0.0,0.0,0.0,,1.0,1.0
2016-01-14,3.0,2.0,1.0,0.0,4.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,448.3333333333333,0.0,1.3333333333333333,0.025671296296296296,0.0,0.6780208333333333,0.0,0.0,0.0,0.5930208333333333,1.0,6.5
2016-01-15,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,429.0,0.0,1.0,0.07769675925925926,2.0,,1.0,0.5,1.0,,1.0,1.5
2016-01-16,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,301.0,0.0,1.0,0.0493287037037037,1.0,0.0493287037037037,1.0,1.0,1.0,0.7415856481481482,1.0,13.5
2016-01-17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,234.0,0.0,0.0,0.09679398148148148,0.0,0.6073611111111111,0.0,0.0,0.0,,1.0,2.5
2016-01-18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
