date,total_inquiries,total_contact_me,total_book_it,total_instant_book,total_replies,total_accepted,total_bookings,contact_me_rate,book_it_rate,instant_book_rate,guest_return_rate,guest_message_rate,words_in_guest_profile,reply_rate,reply_time,accepted_rate,accepted_time,reply_conversion_rate,accepted_conversion_rate,booking_rate,booking_time,listing_rate,interaction
2016-01-02,3.0,0.0,1.0,2.0,3.0,3.0,3.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,259.3333333333333,0.3333333333333333,1.0,0.029155092592592594,1.0,0.029155092592592594,1.0,1.0,1.0,0.029155092592592594,1.0,6.5
2016-01-03,4.0,1.0,1.0,2.0,3.0,3.0,3.0,0.25,0.25,0.5,0.5,402.5,13.25,0.75,0.0017013888888888888,0.75,0.007418981481481481,1.0,1.0,0.75,0.007418981481481481,1.0,5.75
2016-01-04,7.0,0.0,3.0,4.0,7.0,7.0,7.0,0.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,267.57142857142856,7.428571428571429,1.0,0.01866898148148148,1.0,0.01866898148148148,1.0,1.0,1.0,0.01866898148148148,1.0,4.214285714285714
2016-01-05,5.0,1.0,3.0,1.0,3.0,3.0,3.0,0.2,0.6,0.2,0.25,384.8,0.2,0.6,0.06481481481481481,0.6,0.06503472222222222,1.0,1.0,0.6,0.06780092592592593,1.0,5.25
2016-01-06,5.0,1.0,2.0,2.0,4.0,3.0,2.0,0.2,0.4,0.4,0.4,453.6,0.2,0.8,0.0016550925925925926,0.6,0.0,0.5,0.6666666666666666,0.4,0.0,1.0,1.7
2016-01-07,2.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.5,0.5,0.5,71.5,1.0,1.0,0.019131944444444444,1.0,0.026331018518518517,1.0,1.0,1.0,0.026331018518518517,1.0,8.0
2016-01-08,6.0,2.0,2.0,2.0,4.0,3.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,311.6666666666667,5.333333333333333,0.6666666666666666,0.01994212962962963,0.5,0.009039351851851852,0.75,1.0,0.5,0.009039351851851852,1.0,4.6
2016-01-09,5.0,2.0,2.0,1.0,4.0,1.0,1.0,0.4,0.4,0.2,0.5,415.4,0.0,0.8,0.045300925925925925,0.2,1.1574074074074073e-05,0.25,1.0,0.2,1.1574074074074073e-05,1.25,6.0
2016-01-10,4.0,2.0,2.0,0.0,2.0,2.0,2.0,0.5,0.5,0.0,1.0,545.75,34.25,0.5,0.009189814814814816,0.5,0.015590277777777778,1.0,1.0,0.5,0.031296296296296294,1.0,2.25
2016-01-11,5.0,1.0,1.0,3.0,5.0,3.0,3.0,0.2,0.2,0.6,0.8,278.4,11.6,1.0,0.030046296296296297,0.6,0.003981481481481482,0.6,1.0,0.6,0.003981481481481482,1.0,10.8
2016-01-12,7.0,3.0,3.0,1.0,6.0,4.0,3.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.7142857142857143,269.85714285714283,23.714285714285715,0.8571428571428571,0.046481481481481485,0.5714285714285714,0.06726851851851852,0.5,0.75,0.42857142857142855,0.023738425925925927,1.0,3.5714285714285716
2016-01-13,3.0,2.0,0.0,1.0,3.0,2.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,124.33333333333333,0.6666666666666666,1.0,0.04501157407407407,0.6666666666666666,0.9995949074074074,0.3333333333333333,0.5,0.3333333333333333,0.0,1.0,5.166666666666667
2016-01-14,12.0,5.0,4.0,3.0,9.0,6.0,4.0,0.4166666666666667,0.3333333333333333,0.25,0.5,350.9166666666667,17.25,0.75,0.02730324074074074,0.5,0.01167824074074074,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.16636574074074073,1.1,7.523809523809524
2016-01-15,2.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,0.5,0.5,0.0,486.5,0.0,1.0,0.020613425925925927,1.0,0.020752314814814814,1.5,1.5,1.5,0.020752314814814814,1.0,3.75
2016-01-16,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,193.33333333333334,2.0,0.6666666666666666,0.05990740740740741,0.3333333333333333,0.0,0.5,1.0,0.3333333333333333,0.0,1.0,2.6666666666666665
2016-01-17,2.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,0.5,0.5,1.0,217.0,18.0,1.5,0.004097222222222223,1.0,0.004097222222222223,0.6666666666666666,1.0,1.0,0.004097222222222223,1.0,3.75
2016-01-18,3.0,0.0,1.0,2.0,3.0,3.0,3.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,138.66666666666666,19.666666666666668,1.0,0.02582175925925926,1.0,0.02587962962962963,1.0,1.0,1.0,0.02587962962962963,1.0,4.833333333333333
2016-01-19,7.0,3.0,2.0,2.0,6.0,4.0,2.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.8333333333333334,200.85714285714286,13.142857142857142,0.8571428571428571,0.025810185185185186,0.5714285714285714,0.014837962962962963,0.3333333333333333,0.5,0.2857142857142857,0.0,1.1666666666666667,4.538461538461538
2016-01-20,6.0,1.0,3.0,2.0,4.0,3.0,2.0,0.16666666666666666,0.5,0.3333333333333333,0.6666666666666666,390.5,16.666666666666668,0.6666666666666666,0.007233796296296296,0.5,0.006631944444444445,0.5,0.6666666666666666,0.3333333333333333,0.0,1.0,3.4166666666666665
2016-01-21,9.0,1.0,2.0,6.0,9.0,6.0,6.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.625,298.77777777777777,16.333333333333332,1.0,0.02003472222222222,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6666666666666666,0.0,1.125,5.117647058823529
2016-01-22,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.5,0.5,1.0,466.5,8.5,1.0,0.06121527777777778,0.5,0.0,0.5,1.0,0.5,0.0,1.0,6.25
2016-01-23,4.0,0.0,3.0,1.0,4.0,3.0,3.0,0.0,0.75,0.25,0.25,185.25,15.75,1.0,0.042534722222222224,0.75,0.0459375,0.75,1.0,0.75,0.0459375,1.0,7.375
2016-01-24,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,174.0,24.0,1.0,0.02758101851851852,1.0,0.02758101851851852,0.0,0.0,0.0,,1.0,1.0
2016-01-25,6.0,2.0,0.0,4.0,6.0,6.0,4.0,0.3333333333333333,0.0,0.6666666666666666,0.8,212.5,2.3333333333333335,1.0,0.0025810185185185185,1.0,0.0025810185185185185,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.2,4.909090909090909
2016-01-26,5.0,1.0,2.0,2.0,5.0,4.0,3.0,0.2,0.4,0.4,0.8,324.2,18.4,1.0,0.03813657407407407,0.8,0.017534722222222222,0.6,0.75,0.6,0.018425925925925925,1.0,4.5
2016-01-27,4.0,1.0,0.0,3.0,3.0,3.0,3.0,0.25,0.0,0.75,0.75,206.25,4.0,0.75,0.0015625,0.75,0.0015625,1.0,1.0,0.75,0.0015625,1.0,8.25
2016-01-28,9.0,3.0,6.0,0.0,9.0,6.0,5.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,323.8888888888889,6.0,1.0,0.047685185185185185,0.6666666666666666,0.06319444444444444,0.5555555555555556,0.8333333333333334,0.5555555555555556,0.07251157407407408,1.0,4.055555555555555
2016-01-29,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,86.0,32.0,1.0,0.045300925925925925,1.0,0.04563657407407407,1.0,1.0,1.0,0.04563657407407407,1.0,8.0
2016-01-30,3.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,167.33333333333334,13.333333333333334,0.6666666666666666,0.0008796296296296296,0.6666666666666666,0.0008796296296296296,1.0,1.0,0.6666666666666666,0.0008796296296296296,1.0,2.6666666666666665
2016-01-31,4.0,0.0,2.0,2.0,4.0,3.0,3.0,0.0,0.5,0.5,1.0,415.75,15.75,1.0,0.020462962962962964,0.75,0.008773148148148148,0.75,1.0,0.75,0.008773148148148148,1.3333333333333333,6.571428571428571
2016-02-01,3.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.6666666666666666,312.6666666666667,15.666666666666666,1.0,0.02378472222222222,0.6666666666666666,0.024618055555555556,0.6666666666666666,1.0,0.6666666666666666,0.024618055555555556,1.0,3.6666666666666665
2016-02-02,3.0,1.0,1.0,1.0,3.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,493.3333333333333,15.666666666666666,1.0,0.06346064814814815,0.6666666666666666,0.01119212962962963,0.3333333333333333,0.5,0.3333333333333333,0.0,1.0,6.5
2016-02-03,4.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,0.5,0.5,0.5,138.5,16.25,0.75,0.003414351851851852,0.5,0.1017824074074074,0.6666666666666666,1.0,0.5,0.1017824074074074,1.0,4.5
2016-02-04,3.0,1.0,2.0,0.0,2.0,2.0,2.0,0.3333333333333333,0.6666666666666666,0.0,0.0,197.33333333333334,0.0,0.6666666666666666,0.03568287037037037,0.6666666666666666,0.3184722222222222,1.0,1.0,0.6666666666666666,0.3184722222222222,1.0,2.6666666666666665
2016-02-05,4.0,0.0,2.0,2.0,4.0,4.0,4.0,0.0,0.5,0.5,0.5,318.0,0.25,1.0,0.03818287037037037,1.0,0.029467592592592594,1.0,1.0,1.0,0.029467592592592594,1.0,4.75
2016-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-02-07,3.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,180.33333333333334,1.0,0.6666666666666666,0.05105324074074074,0.6666666666666666,0.05105324074074074,1.0,1.0,0.6666666666666666,0.05105324074074074,1.0,6.833333333333333
2016-02-08,3.0,1.0,1.0,1.0,3.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,305.6666666666667,27.0,1.0,0.04268518518518519,0.6666666666666666,0.07310185185185185,0.3333333333333333,0.5,0.3333333333333333,0.11006944444444444,1.0,5.5
2016-02-09,6.0,2.0,3.0,1.0,6.0,3.0,3.0,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,261.5,9.666666666666666,1.0,0.0528587962962963,0.5,0.3153125,0.5,1.0,0.5,0.7441319444444444,1.0,5.75
2016-02-10,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,301.0,1.0,0.5,0.003715277777777778,0.5,,0.0,0.0,0.0,,1.0,1.5
2016-02-11,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.5,0.0,0.5,0.5,330.5,0.5,0.5,0.07310185185185185,0.5,0.0037847222222222223,2.0,2.0,1.0,0.0037847222222222223,1.0,4.25
2016-02-12,3.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,0.3333333333333333,0.6666666666666666,1.0,130.66666666666666,20.333333333333332,1.0,0.0037962962962962963,0.6666666666666666,0.0037962962962962963,0.6666666666666666,1.0,0.6666666666666666,0.0037962962962962963,1.0,1.5
2016-02-13,3.0,1.0,1.0,1.0,3.0,2.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,133.0,25.666666666666668,1.0,0.06747685185185186,0.6666666666666666,0.01871527777777778,0.6666666666666666,1.0,0.6666666666666666,0.04456018518518518,1.0,4.666666666666667
2016-02-14,4.0,1.0,2.0,1.0,4.0,3.0,3.0,0.25,0.5,0.25,0.5,191.25,28.5,1.0,0.022569444444444444,0.75,0.48439814814814813,0.75,1.0,0.75,0.4894560185185185,1.0,6.75
2016-02-15,3.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,1.0,0.6666666666666666,168.0,5.0,1.0,0.0028703703703703703,1.3333333333333333,0.0028703703703703703,1.3333333333333333,1.0,1.3333333333333333,0.0028703703703703703,1.0,8.166666666666666
2016-02-16,3.0,0.0,1.0,2.0,3.0,3.0,3.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,388.3333333333333,8.333333333333334,1.0,0.0069328703703703705,1.0,0.007060185185185185,1.0,1.0,1.0,0.007060185185185185,1.0,4.833333333333333
2016-02-17,7.0,0.0,2.0,5.0,7.0,6.0,6.0,0.0,0.2857142857142857,0.7142857142857143,0.8571428571428571,249.28571428571428,3.7142857142857144,1.0,0.0030439814814814813,0.8571428571428571,0.14804398148148148,0.8571428571428571,1.0,0.8571428571428571,0.14804398148148148,1.0,5.714285714285714
2016-02-18,2.0,1.0,0.0,1.0,2.0,3.0,2.0,0.5,0.0,0.5,1.0,213.5,56.5,1.0,0.04412037037037037,1.5,0.04412037037037037,1.0,0.6666666666666666,1.0,0.0,1.0,2.75
2016-02-19,5.0,1.0,3.0,1.0,4.0,3.0,3.0,0.2,0.6,0.2,0.6,265.8,22.8,0.8,0.038356481481481484,0.6,0.3355092592592593,0.75,1.0,0.6,0.15939814814814815,1.0,5.2
2016-02-20,5.0,0.0,3.0,2.0,5.0,6.0,5.0,0.0,0.6,0.4,0.4,250.0,0.0,1.0,0.012083333333333333,1.2,0.012430555555555556,1.0,0.8333333333333334,1.0,0.012430555555555556,1.0,6.6
2016-02-21,3.0,1.0,1.0,1.0,3.0,3.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,278.3333333333333,4.333333333333333,1.0,0.03121527777777778,1.0,0.03128472222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.44403935185185184,1.0,6.0
2016-02-22,3.0,0.0,2.0,1.0,3.0,3.0,4.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,219.33333333333334,6.333333333333333,1.0,0.009189814814814816,1.0,0.06394675925925926,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.06394675925925926,1.0,6.166666666666667
