date,total_inquiries,total_contact_me,total_book_it,total_instant_book,total_replies,total_accepted,total_bookings,contact_me_rate,book_it_rate,instant_book_rate,guest_return_rate,guest_message_rate,words_in_guest_profile,reply_rate,reply_time,accepted_rate,accepted_time,reply_conversion_rate,accepted_conversion_rate,booking_rate,booking_time,listing_rate,interaction
2016-01-02,8.0,1.0,3.0,4.0,8.0,6.0,6.0,0.125,0.375,0.5,0.42857142857142855,224.625,2.75,1.0,0.006493055555555556,0.75,0.0005439814814814814,0.75,1.0,0.75,0.0005439814814814814,1.1428571428571428,4.333333333333333
2016-01-03,10.0,4.0,2.0,4.0,6.0,4.0,4.0,0.4,0.2,0.4,0.5,171.6,0.7,0.6,0.02820601851851852,0.4,0.023148148148148147,0.6666666666666666,1.0,0.4,0.023148148148148147,1.0,4.75
2016-01-04,5.0,1.0,1.0,3.0,6.0,4.0,4.0,0.2,0.2,0.6,0.4,345.4,4.6,1.2,0.0016435185185185185,0.8,0.18185185185185185,0.6666666666666666,1.0,0.8,0.0,1.0,4.5
2016-01-05,8.0,1.0,4.0,3.0,4.0,5.0,4.0,0.125,0.5,0.375,0.5,410.0,9.375,0.5,0.04987268518518519,0.625,0.03210648148148148,1.0,0.8,0.5,0.03210648148148148,1.0,3.6875
2016-01-06,6.0,4.0,2.0,0.0,6.0,2.0,2.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,210.83333333333334,9.5,1.0,0.032303240740740743,0.3333333333333333,0.2777777777777778,0.3333333333333333,1.0,0.3333333333333333,0.2777777777777778,1.0,2.6666666666666665
2016-01-07,8.0,3.0,5.0,0.0,6.0,5.0,5.0,0.375,0.625,0.0,0.7142857142857143,338.125,15.5,0.75,0.08018518518518518,0.625,0.05105324074074074,0.8333333333333334,1.0,0.625,0.05105324074074074,1.1428571428571428,3.466666666666667
2016-01-08,11.0,5.0,3.0,3.0,8.0,6.0,6.0,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.3,240.72727272727272,2.272727272727273,0.7272727272727273,0.040636574074074075,0.5454545454545454,0.08731481481481482,0.75,1.0,0.5454545454545454,0.014710648148148148,1.1,5.476190476190476
2016-01-09,11.0,3.0,4.0,4.0,11.0,9.0,6.0,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.6363636363636364,224.1818181818182,4.818181818181818,1.0,0.01837962962962963,0.8181818181818182,0.010578703703703703,0.5454545454545454,0.6666666666666666,0.5454545454545454,0.15435185185185185,1.0,5.954545454545454
2016-01-10,10.0,3.0,4.0,3.0,8.0,7.0,7.0,0.3,0.4,0.3,0.5555555555555556,197.5,0.1,0.8,0.03599537037037037,0.7,0.05987268518518519,0.875,1.0,0.7,0.06173611111111111,1.1111111111111112,3.210526315789474
2016-01-11,12.0,3.0,3.0,6.0,11.0,9.0,7.0,0.25,0.25,0.5,0.8333333333333334,248.16666666666666,23.166666666666668,0.9166666666666666,0.019282407407407408,0.75,0.009131944444444444,0.6363636363636364,0.7777777777777778,0.5833333333333334,0.2207523148148148,1.0,7.166666666666667
