date,total_inquiries,total_contact_me,total_book_it,total_instant_book,total_replies,total_accepted,total_bookings,contact_me_rate,book_it_rate,instant_book_rate,guest_return_rate,guest_message_rate,words_in_guest_profile,reply_rate,reply_time,accepted_rate,accepted_time,reply_conversion_rate,accepted_conversion_rate,booking_rate,booking_time,listing_rate,interaction
2016-01-02,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,144.0,31.0,1.0,1.1574074074074073e-05,1.0,1.1574074074074073e-05,1.0,1.0,1.0,1.1574074074074073e-05,1.0,1.5
2016-01-03,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,84.0,0.0,1.0,0.00787037037037037,0.0,,0.0,0.0,0.0,,1.0,1.5
2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-01-05,4.0,2.0,1.0,1.0,4.0,3.0,2.0,0.5,0.25,0.25,0.25,142.75,2.0,1.0,0.00525462962962963,0.75,0.001736111111111111,0.5,0.6666666666666666,0.5,0.9995949074074074,1.0,7.571428571428571
2016-01-06,5.0,3.0,0.0,2.0,5.0,3.0,2.0,0.6,0.0,0.4,0.6,221.6,47.6,1.0,0.04231481481481481,0.6,0.01769675925925926,0.4,0.6666666666666666,0.4,0.0,1.0,3.6
2016-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-01-08,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,118.0,0.0,0.5,0.026400462962962962,0.5,0.026400462962962962,0.0,0.0,0.0,,1.0,1.25
2016-01-09,4.0,1.0,0.0,3.0,4.0,3.0,3.0,0.25,0.0,0.75,0.5,37.25,5.5,1.0,0.02605324074074074,0.75,0.314224537037037,0.75,1.0,0.75,0.01511574074074074,1.0,5.125
2016-01-10,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,133.0,0.5,1.0,0.07372685185185185,1.0,0.12496527777777777,0.0,0.0,0.0,,1.0,2.25
2016-01-11,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,307.0,57.0,1.0,0.00494212962962963,1.0,0.00494212962962963,1.0,1.0,1.0,0.00494212962962963,1.0,14.5
2016-01-12,5.0,3.0,2.0,0.0,4.0,3.0,1.0,0.6,0.4,0.0,0.4,132.0,21.6,0.8,0.03622685185185185,0.6,0.12488425925925926,0.25,0.3333333333333333,0.2,0.35378472222222224,1.0,3.1
2016-01-13,3.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,134.33333333333334,0.3333333333333333,1.0,0.04134259259259259,0.3333333333333333,0.016909722222222222,0.0,0.0,0.0,0.4686111111111111,1.0,10.333333333333334
2016-01-14,3.0,1.0,2.0,0.0,3.0,2.0,2.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,325.0,29.333333333333332,1.0,0.06820601851851851,0.6666666666666666,0.042847222222222224,0.6666666666666666,1.0,0.6666666666666666,0.042847222222222224,1.0,6.333333333333333
2016-01-15,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,27.0,1.0,0.00016203703703703703,1.0,0.0026157407407407405,1.0,1.0,1.0,,1.0,5.5
2016-01-16,3.0,2.0,0.0,1.0,2.0,2.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,417.3333333333333,0.3333333333333333,0.6666666666666666,0.0165625,0.6666666666666666,0.016689814814814814,0.5,0.5,0.3333333333333333,0.023148148148148147,1.0,2.6666666666666665
2016-01-17,5.0,0.0,2.0,3.0,5.0,4.0,4.0,0.0,0.4,0.6,0.4,19.0,22.8,1.0,0.02244212962962963,0.8,0.012824074074074075,0.8,1.0,0.8,0.012824074074074075,0.8,9.25
2016-01-18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,250.0,0.0,0.0,0.13327546296296297,0.0,,0.0,0.0,0.0,,1.0,1.0
2016-01-19,3.0,1.0,2.0,0.0,2.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,48.0,29.666666666666668,0.6666666666666666,0.019351851851851853,0.3333333333333333,0.6675231481481482,0.0,0.0,0.0,,1.0,1.0
2016-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-01-21,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,276.0,16.0,0.0,,0.0,,0.0,0.0,0.0,,0.6666666666666666,0.8
2016-01-22,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,279.0,6.0,0.5,0.02693287037037037,0.5,0.02693287037037037,0.0,0.0,0.0,,1.0,1.0
2016-01-23,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,671.0,57.0,1.0,0.018391203703703705,1.0,0.01855324074074074,1.0,1.0,1.0,0.05240740740740741,1.0,18.0
2016-01-24,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.5,0.5,0.0,0.5,168.5,4.5,1.0,0.11689814814814815,0.5,0.1569212962962963,0.0,0.0,0.0,,1.0,2.75
2016-01-25,4.0,1.0,1.0,2.0,4.0,4.0,3.0,0.25,0.25,0.5,0.25,214.0,1.75,1.0,0.005023148148148148,1.0,0.005023148148148148,0.75,0.75,0.75,0.001261574074074074,0.75,4.714285714285714
2016-01-26,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,109.0,12.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.5
2016-01-27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,233.0,0.0,0.0,0.15677083333333333,0.0,0.15703703703703703,0.0,0.0,0.0,,1.0,3.0
2016-01-28,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.5,0.5,0.0,0.5,182.5,46.0,1.0,0.02079861111111111,0.5,,0.0,0.0,0.0,,1.0,7.0
2016-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-01-30,6.0,3.0,1.0,2.0,5.0,3.0,3.0,0.5,0.16666666666666666,0.3333333333333333,0.6666666666666666,196.66666666666666,16.166666666666668,0.8333333333333334,0.02599537037037037,0.5,0.01476851851851852,0.6,1.0,0.5,0.01476851851851852,0.8333333333333334,5.2727272727272725
2016-01-31,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,0.0,1.0,0.999837962962963,0.0,0.6771990740740741,0.0,0.0,0.0,0.6771990740740741,1.0,1.5
2016-02-01,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,638.0,63.5,1.0,0.06432870370370371,1.0,0.06489583333333333,0.0,0.0,0.0,0.010775462962962962,1.0,4.25
2016-02-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-02-03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,1.0,0.0,,0.0,0.0
2016-02-04,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,54.0,0.0,1.0,0.022569444444444444,1.0,0.022569444444444444,0.0,0.0,0.0,,1.0,1.5
2016-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-02-06,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,234.0,42.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0
2016-02-07,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.5,109.0,0.0,1.0,0.06175925925925926,1.0,0.062141203703703705,1.0,1.0,1.0,0.062141203703703705,1.0,2.75
2016-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-02-09,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,151.0,2.0,1.0,1.1574074074074073e-05,1.0,1.1574074074074073e-05,1.0,1.0,1.0,1.1574074074074073e-05,1.0,3.5
2016-02-10,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.5,0.0,0.5,0.5,156.0,0.5,1.0,0.007673611111111111,0.5,0.0,0.5,1.0,0.5,0.0,1.0,2.25
2016-02-11,3.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,190.0,25.666666666666668,1.0,0.009224537037037036,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.6666666666666666,4.2
2016-02-12,4.0,1.0,1.0,2.0,3.0,2.0,2.0,0.25,0.25,0.5,1.0,237.25,41.0,0.75,0.01380787037037037,0.5,0.0,0.6666666666666666,1.0,0.5,0.0,1.0,4.0
2016-02-13,3.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,249.66666666666666,4.0,1.0,0.05238425925925926,0.3333333333333333,0.16216435185185185,0.3333333333333333,1.0,0.3333333333333333,0.16216435185185185,1.0,9.0
2016-02-14,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.5,0.0,0.5,0.0,98.0,0.0,1.0,0.011458333333333333,1.0,0.011574074074074073,0.5,0.5,0.5,0.0,1.0,5.25
2016-02-15,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,91.0,47.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.5
2016-02-16,4.0,3.0,1.0,0.0,4.0,2.0,0.0,0.75,0.25,0.0,0.25,120.25,0.0,1.0,0.027199074074074073,0.5,0.3254398148148148,0.0,0.0,0.0,0.02056712962962963,1.0,6.25
2016-02-17,1.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,325.0,0.0,1.0,0.022858796296296297,3.0,0.022858796296296297,2.0,0.6666666666666666,2.0,,1.0,5.0
2016-02-18,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,0.003761574074074074,1.0,0.005405092592592592,0.0,0.0,0.0,,1.0,2.0
2016-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-02-20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,0.5
2016-02-21,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,337.0,22.5,0.5,0.04987268518518519,0.0,0.06853009259259259,0.0,0.0,0.0,0.1275462962962963,1.0,5.75
2016-02-22,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,314.0,22.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0
2016-02-23,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,186.0,32.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.5
2016-02-24,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,279.5,0.5,0.5,0.0017939814814814815,0.0,,0.0,0.0,0.0,,1.0,1.75
2016-02-25,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.5,0.5,0.5,236.0,0.0,1.0,0.0043287037037037035,0.5,0.009293981481481481,0.5,1.0,0.5,0.009293981481481481,1.0,4.5
2016-02-26,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,1.0,0.0,,0.0,0.0
2016-02-27,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.5,0.0,0.5,0.5,299.0,5.0,1.0,0.07185185185185185,1.0,0.07202546296296296,0.5,0.5,0.5,0.0,1.0,5.0
2016-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-03-01,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,31.0,11.0,1.0,0.0025578703703703705,1.0,0.0027546296296296294,0.0,0.0,0.0,,1.0,1.5
