date,total_inquiries,total_contact_me,total_book_it,total_instant_book,total_replies,total_accepted,total_bookings,contact_me_rate,book_it_rate,instant_book_rate,guest_return_rate,guest_message_rate,words_in_guest_profile,reply_rate,reply_time,accepted_rate,accepted_time,reply_conversion_rate,accepted_conversion_rate,booking_rate,booking_time,listing_rate,interaction
2016-01-02,7.0,4.0,1.0,2.0,5.0,4.0,3.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.5714285714285714,182.28571428571428,0.5714285714285714,0.7142857142857143,0.01425925925925926,0.5714285714285714,0.009282407407407408,0.6,0.75,0.42857142857142855,0.011828703703703704,1.0,4.928571428571429
2016-01-03,22.0,7.0,13.0,2.0,16.0,8.0,6.0,0.3181818181818182,0.5909090909090909,0.09090909090909091,0.38095238095238093,151.0909090909091,10.863636363636363,0.7272727272727273,0.053125,0.36363636363636365,0.050277777777777775,0.375,0.75,0.2727272727272727,0.03751157407407407,0.9047619047619048,4.025
2016-01-04,17.0,6.0,4.0,7.0,18.0,10.0,9.0,0.35294117647058826,0.23529411764705882,0.4117647058823529,0.4117647058823529,222.58823529411765,11.823529411764707,1.0588235294117647,0.032581018518518516,0.5882352941176471,0.0035300925925925925,0.5,0.9,0.5294117647058824,0.0005439814814814814,0.8235294117647058,3.3666666666666667
2016-01-05,29.0,20.0,8.0,1.0,22.0,9.0,5.0,0.6896551724137931,0.27586206896551724,0.034482758620689655,0.35714285714285715,237.3448275862069,8.344827586206897,0.7586206896551724,0.02508101851851852,0.3103448275862069,0.17875,0.22727272727272727,0.5555555555555556,0.1724137931034483,0.3768634259259259,1.0,3.2830188679245285
2016-01-06,32.0,19.0,6.0,7.0,25.0,17.0,9.0,0.59375,0.1875,0.21875,0.5357142857142857,180.625,9.3125,0.78125,0.03380787037037037,0.53125,0.010127314814814815,0.36,0.5294117647058824,0.28125,0.002210648148148148,1.0357142857142858,3.8518518518518516
2016-01-07,44.0,26.0,11.0,7.0,36.0,14.0,11.0,0.5909090909090909,0.25,0.1590909090909091,0.4634146341463415,167.38636363636363,6.659090909090909,0.8181818181818182,0.042291666666666665,0.3181818181818182,0.19368055555555555,0.3055555555555556,0.7857142857142857,0.25,0.08166666666666667,0.9512195121951219,3.3378378378378377
2016-01-08,33.0,10.0,18.0,5.0,25.0,13.0,9.0,0.30303030303030304,0.5454545454545454,0.15151515151515152,0.40625,183.42424242424244,5.303030303030303,0.7575757575757576,0.027789351851851853,0.3939393939393939,0.14976851851851852,0.36,0.6923076923076923,0.2727272727272727,0.3113310185185185,1.0,5.385964912280702
2016-01-09,27.0,15.0,7.0,5.0,22.0,12.0,7.0,0.5555555555555556,0.25925925925925924,0.18518518518518517,0.43478260869565216,394.0740740740741,13.25925925925926,0.8148148148148148,0.05056712962962963,0.4444444444444444,0.3394212962962963,0.3181818181818182,0.5833333333333334,0.25925925925925924,0.38079861111111113,0.9565217391304348,4.674418604651163
2016-01-10,13.0,5.0,7.0,1.0,13.0,10.0,8.0,0.38461538461538464,0.5384615384615384,0.07692307692307693,0.23076923076923078,288.7692307692308,2.1538461538461537,1.0,0.028530092592592593,0.7692307692307693,0.021041666666666667,0.6153846153846154,0.8,0.6153846153846154,0.021041666666666667,1.0,3.4166666666666665
2016-01-11,20.0,7.0,8.0,5.0,20.0,9.0,8.0,0.35,0.4,0.25,0.47368421052631576,228.3,9.6,1.0,0.025358796296296296,0.45,0.004074074074074074,0.4,0.8888888888888888,0.4,0.11890046296296296,0.7894736842105263,6.25
