date,total_inquiries,total_contact_me,total_book_it,total_instant_book,total_replies,total_accepted,total_bookings,contact_me_rate,book_it_rate,instant_book_rate,guest_return_rate,guest_message_rate,words_in_guest_profile,reply_rate,reply_time,accepted_rate,accepted_time,reply_conversion_rate,accepted_conversion_rate,booking_rate,booking_time,listing_rate,interaction
2016-01-02,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,423.0,37.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,0.5
2016-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
2016-01-04,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,163.5,39.5,0.5,0.015162037037037036,0.5,0.015162037037037036,1.0,1.0,0.5,0.015162037037037036,1.0,3.0
2016-01-05,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,453.5,4.5,0.5,0.0,0.5,0.0,1.0,1.0,0.5,0.0,1.0,1.25
2016-01-06,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,405.0,1.0,1.0,0.016030092592592592,0.0,,0.0,0.0,0.0,,2.0,1.6666666666666667
2016-01-07,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,325.0,75.0,1.0,0.06737268518518519,0.0,0.5957060185185186,0.0,0.0,0.0,0.5957060185185186,1.0,4.5
2016-01-08,4.0,0.0,1.0,3.0,4.0,4.0,4.0,0.0,0.25,0.75,1.0,144.25,3.75,1.0,0.02726851851851852,1.0,0.0,1.0,1.0,1.0,0.0,1.0,10.875
2016-01-09,3.0,1.0,2.0,0.0,3.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,304.6666666666667,0.6666666666666666,1.0,0.06305555555555556,0.3333333333333333,0.07094907407407407,0.3333333333333333,1.0,0.3333333333333333,0.23549768518518518,1.0,6.333333333333333
2016-01-10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,1.0,0.0,,0.0,0.0
2016-01-11,3.0,2.0,1.0,0.0,3.0,2.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,527.6666666666666,29.0,1.0,0.01667824074074074,0.6666666666666666,0.25688657407407406,0.0,0.0,0.0,0.07611111111111112,1.0,10.166666666666666
2016-01-12,4.0,1.0,2.0,1.0,4.0,3.0,2.0,0.25,0.5,0.25,1.0,245.75,0.75,1.0,0.012118055555555556,0.75,0.0025462962962962965,0.5,0.6666666666666666,0.5,0.0,2.0,9.5
2016-01-13,3.0,2.0,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,209.33333333333334,0.3333333333333333,0.6666666666666666,0.023449074074074074,0.3333333333333333,0.04469907407407407,0.5,1.0,0.3333333333333333,0.04469907407407407,1.0,2.0
