date,total_inquiries,total_contact_me,total_book_it,total_instant_book,total_replies,total_accepted,total_bookings,contact_me_rate,book_it_rate,instant_book_rate,guest_return_rate,guest_message_rate,words_in_guest_profile,reply_rate,reply_time,accepted_rate,accepted_time,reply_conversion_rate,accepted_conversion_rate,booking_rate,booking_time,listing_rate,interaction
2016-01-02,3.0,0.0,1.0,2.0,3.0,3.0,3.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,164.33333333333334,0.6666666666666666,1.0,0.008067129629629629,1.0,0.008067129629629629,1.0,1.0,1.0,0.008067129629629629,1.0,3.0
2016-01-03,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,116.0,0.0,1.0,0.0061342592592592594,1.0,0.0061342592592592594,1.0,1.0,1.0,0.02039351851851852,1.0,6.5
2016-01-04,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,387.0,15.333333333333334,1.0,0.011122685185185185,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.6666666666666666,5.8
2016-01-05,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,264.3333333333333,0.0,1.0,0.0009490740740740741,0.6666666666666666,0.6265740740740741,0.6666666666666666,1.0,0.6666666666666666,0.6309953703703703,1.0,11.166666666666666
2016-01-06,5.0,2.0,2.0,1.0,5.0,2.0,2.0,0.4,0.4,0.2,0.4,239.8,26.0,1.0,0.03222222222222222,0.4,0.0006597222222222222,0.4,1.0,0.4,0.0006597222222222222,1.0,2.2
2016-01-07,4.0,2.0,2.0,0.0,4.0,3.0,3.0,0.5,0.5,0.0,0.75,307.75,19.0,1.0,0.03201388888888889,0.75,0.019328703703703702,0.75,1.0,0.75,0.019328703703703702,1.0,4.75
2016-01-08,3.0,2.0,0.0,1.0,2.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,264.6666666666667,7.666666666666667,0.6666666666666666,0.023240740740740742,0.3333333333333333,0.26502314814814815,0.5,1.0,0.3333333333333333,0.26502314814814815,1.0,3.0
2016-01-09,5.0,4.0,0.0,1.0,4.0,3.0,2.0,0.8,0.0,0.2,0.2,126.2,0.2,0.8,0.03608796296296296,0.6,0.02849537037037037,0.5,0.6666666666666666,0.4,1.1574074074074073e-05,1.0,1.8
2016-01-10,5.0,0.0,2.0,3.0,6.0,4.0,3.0,0.0,0.4,0.6,1.0,189.2,25.6,1.2,0.029189814814814814,0.8,0.0,0.5,0.75,0.6,0.0,1.0,4.4
2016-01-11,4.0,2.0,0.0,2.0,4.0,2.0,2.0,0.5,0.0,0.5,0.6666666666666666,295.5,69.75,1.0,0.004918981481481482,0.5,0.005960648148148148,0.5,1.0,0.5,0.005960648148148148,1.0,17.166666666666668
