date,total_inquiries,total_contact_me,total_book_it,total_instant_book,total_replies,total_accepted,total_bookings,contact_me_rate,book_it_rate,instant_book_rate,guest_return_rate,guest_message_rate,words_in_guest_profile,reply_rate,reply_time,accepted_rate,accepted_time,reply_conversion_rate,accepted_conversion_rate,booking_rate,booking_time,listing_rate,interaction
2016-01-02,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,858.0,0.0,1.0,0.04839120370370371,1.0,0.04839120370370371,0.0,0.0,0.0,,1.0,1.0
2016-01-03,12.0,3.0,4.0,5.0,12.0,10.0,7.0,0.25,0.3333333333333333,0.4166666666666667,0.75,232.91666666666666,10.083333333333334,1.0,0.03405092592592593,0.8333333333333334,0.03204861111111111,0.5833333333333334,0.7,0.5833333333333334,0.02798611111111111,1.0,10.375
2016-01-04,19.0,6.0,6.0,7.0,16.0,11.0,11.0,0.3157894736842105,0.3157894736842105,0.3684210526315789,0.5,247.57894736842104,11.368421052631579,0.8421052631578947,0.03193287037037037,0.5789473684210527,0.25725694444444447,0.6875,1.0,0.5789473684210527,0.33207175925925925,0.8888888888888888,5.911764705882353
2016-01-05,18.0,8.0,8.0,2.0,15.0,10.0,7.0,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.5555555555555556,267.8333333333333,22.72222222222222,0.8333333333333334,0.019351851851851853,0.5555555555555556,0.1083449074074074,0.4666666666666667,0.7,0.3888888888888889,0.017847222222222223,1.0,7.055555555555555
2016-01-06,19.0,6.0,5.0,8.0,15.0,15.0,12.0,0.3157894736842105,0.2631578947368421,0.42105263157894735,0.7222222222222222,235.94736842105263,28.105263157894736,0.7894736842105263,0.02591435185185185,0.7894736842105263,0.023171296296296297,0.8,0.8,0.631578947368421,0.03581018518518519,1.0,4.111111111111111
2016-01-07,25.0,9.0,10.0,6.0,17.0,9.0,7.0,0.36,0.4,0.24,0.5909090909090909,245.32,21.64,0.68,0.03556712962962963,0.36,0.1855787037037037,0.4117647058823529,0.7777777777777778,0.28,0.11877314814814814,1.0909090909090908,4.75
2016-01-08,19.0,5.0,6.0,8.0,20.0,16.0,13.0,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.42105263157894735,230.6315789473684,23.210526315789473,1.0526315789473684,0.02172453703703704,0.8421052631578947,0.2709722222222222,0.65,0.8125,0.6842105263157895,0.42644675925925923,1.0,10.31578947368421
2016-01-09,25.0,7.0,10.0,8.0,20.0,11.0,10.0,0.28,0.4,0.32,0.7619047619047619,252.68,13.56,0.8,0.04679398148148148,0.44,0.09017361111111111,0.5,0.9090909090909091,0.4,0.09289351851851851,1.0952380952380953,5.863636363636363
2016-01-10,24.0,4.0,10.0,10.0,23.0,19.0,18.0,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.5,260.2083333333333,38.791666666666664,0.9583333333333334,0.021145833333333332,0.7916666666666666,0.04123842592592593,0.782608695652174,0.9473684210526315,0.75,0.06252314814814815,1.0454545454545454,5.444444444444445
2016-01-11,14.0,4.0,4.0,6.0,13.0,11.0,9.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,239.78571428571428,18.428571428571427,0.9285714285714286,0.01949074074074074,0.7857142857142857,0.1575,0.6923076923076923,0.8181818181818182,0.6428571428571429,0.012291666666666666,1.0,8.777777777777779
